_id,Date,Line,Time,Day,Station,Incident,Min Delay,Min Gap,Bound,Vehicle,,
218,2025-01-07,512,23:31,Tuesday,ST CLAIR AND LANSDOWNE,Operations,8,18,W,4456,ST CLAIR AND LANSDOWNE,
219,2025-01-07,505,1:53,Tuesday,KINGSTON LOOP,Security,None,None,E,4521,KINGSTON LOOP,
220,2025-01-08,503,3:00,Wednesday,KING AND TYNDALL AVE,Diversion,14,29,E,4631,KING AND TYNDALL AVE,
221,2025-01-08,304,3:02,Wednesday,KING AND SPENCER,Diversion,14,34,E,4470,KING AND SPENCER,
222,2025-01-08,306,4:20,Wednesday,MAIN STREET STATION,Cleaning - Unsanitary,20,40,W,4415,MAIN STREET STATION,
223,2025-01-08,303,5:03,Wednesday,KING AND QUEEN,Security,19,39,W,4631,KING AND QUEEN,
224,2025-01-08,501,7:02,Wednesday,QUEEN AND KINGSTON,Cleaning - Unsanitary,8,16,W,4548,QUEEN AND KINGSTON,
225,2025-01-08,509,7:03,Wednesday,KING AND SPADINA,Operations,6,12,W,4453,KING AND SPADINA,
226,2025-01-08,508,7:27,Wednesday,HUMBER LOOP,General Delay,20,40,None,4556,HUMBER LOOP,
227,2025-01-08,501,8:13,Wednesday,YORK AND ADELAIDE,Mechanical,9,18,None,4564,YORK AND ADELAIDE,
228,2025-01-08,506,8:47,Wednesday,COLLEGE AND DOVERCOURT,Mechanical,None,None,W,4485,COLLEGE AND DOVERCOURT,
229,2025-01-08,505,9:24,Wednesday,DUNDAS AND REGENT PARK,Collision - TTC Involved,47,57,E,4441,DUNDAS AND REGENT PARK,
230,2025-01-08,504,9:32,Wednesday,KING AND JEFFERSON,Diversion,18,28,None,None,KING AND JEFFERSON,
231,2025-01-08,510,9:59,Wednesday,SPADINA AND BREMNER,Mechanical,4,8,None,8836,SPADINA AND BREMNER,
232,2025-01-08,510,12:15,Wednesday,SPADINA AND BLOOR,Mechanical,5,10,None,8856,SPADINA AND BLOOR,
233,2025-01-08,506,12:18,Wednesday,GERRARD AND NORWOOD,Emergency Services,10,20,E,4501,GERRARD AND NORWOOD,
234,2025-01-08,504,12:27,Wednesday,KING AND UNIVERSITY,Cleaning - Unsanitary,10,20,E,4430,KING AND UNIVERSITY,
235,2025-01-08,512,15:46,Wednesday,ST CLAIR AND DUFFERIN,General Delay,14,22,E,4487,ST CLAIR AND DUFFERIN,
236,2025-01-08,501,16:48,Wednesday,QUEEN AND BROADVIEW,Mechanical,10,20,W,4564,QUEEN AND BROADVIEW,
237,2025-01-08,510,19:57,Wednesday,SPADINA AND NASSAU,Security,3,5,S,8663,SPADINA AND NASSAU,
238,2025-01-08,505,21:50,Wednesday,DUNDAS WEST STATION,Security,10,20,W,4454,DUNDAS WEST STATION,
239,2025-01-08,501,21:51,Wednesday,QUEEN AND RONCESVALLES,Operations,10,20,W,4574,QUEEN AND RONCESVALLES,
240,2025-01-08,501,22:21,Wednesday,KINGSTON LOOP,Security,10,20,E,4554,KINGSTON LOOP,
241,2025-01-08,511,22:50,Wednesday,BATHURST STATION,Operations,13,23,S,4575,BATHURST STATION,
242,2025-01-08,506,23:16,Wednesday,CARLTON AND JARVIS,Operations,12,22,E,4405,CARLTON AND JARVIS,
243,2025-01-08,512,1:30,Wednesday,ST CLAIR WEST STATION,Mechanical,10,20,E,4505,ST CLAIR WEST STATION,
244,2025-01-09,503,2:30,Thursday,QUEEN AND KINGSTON,Rail/Switches,None,None,E,4431,QUEEN AND KINGSTON,
245,2025-01-09,304,2:50,Thursday,BROADVIEW AND JACK LAY,General Delay,25,45,W,4465,BROADVIEW AND JACK LAY,
246,2025-01-09,305,3:10,Thursday,BROADVIEW AND GERRARD,Mechanical,25,40,S,4456,BROADVIEW AND GERRARD,
247,2025-01-09,507,4:13,Thursday,QUEEN AND AUGUSTA,General Delay,20,40,E,4586,QUEEN AND AUGUSTA,
248,2025-01-09,506,7:46,Thursday,MAIN STREET STATION,Diversion,7,14,None,4472,MAIN STREET STATION,
249,2025-01-09,501,9:51,Thursday,QUEEN AND BROOKLYN,Cleaning - Unsanitary,10,20,W,4546,QUEEN AND BROOKLYN,
250,2025-01-09,510,10:08,Thursday,QUEENS QUAY AND LOWER,Mechanical,5,10,W,8839,QUEENS QUAY AND LOWER,
251,2025-01-09,505,10:52,Thursday,BROADVIEW,Collision - TTC Involved,18,28,None,4517,BROADVIEW,
252,2025-01-09,510,12:04,Thursday,SPADINA AND KING (SOUT,Mechanical,4,8,N,8829,SPADINA AND KING (SOUT,
253,2025-01-09,504,13:34,Thursday,HOWARD PARK AND RONCES,Cleaning - Unsanitary,10,20,W,4433,HOWARD PARK AND RONCES,
254,2025-01-09,504,14:19,Thursday,KING AND BATHURST,Emergency Services,10,20,W,4510,KING AND BATHURST,
255,2025-01-09,512,15:09,Thursday,ST CLAIR AND DUFFERIN,General Delay,11,19,W,4628,ST CLAIR AND DUFFERIN,
256,2025-01-09,506,15:17,Thursday,GERRARD AND COXWELL,Diversion,72,82,E,4432,GERRARD AND COXWELL,
257,2025-01-09,506,16:17,Thursday,GERRARD AND BLACKBURN,General Delay,None,None,None,None,GERRARD AND BLACKBURN,
258,2025-01-09,501,16:24,Thursday,QUEEN AND NEVILLE PARK,Emergency Services,20,30,E,4566,QUEEN AND NEVILLE PARK,
259,2025-01-09,510,17:20,Thursday,SPADINA STATION,Investigation,3,5,N,8735,SPADINA STATION,
260,2025-01-09,512,17:43,Thursday,ST CLAIR WEST STATION,General Delay,None,None,W,4420,ST CLAIR WEST STATION,
261,2025-01-09,510,18:18,Thursday,SPADINA AND BLOOR,Collision - TTC Involved,3,5,N,8671,SPADINA AND BLOOR,
262,2025-01-09,512,19:17,Thursday,ST CLAIR AND LANSDOWNE,Operations,8,16,W,4528,ST CLAIR AND LANSDOWNE,
263,2025-01-09,505,20:06,Thursday,DUNDAS AND BAY,General Delay,10,20,E,4517,DUNDAS AND BAY,
264,2025-01-09,505,20:13,Thursday,DUNDAS AND CLAREMONT,Collision - TTC Involved,41,51,E,4470,DUNDAS AND CLAREMONT,
265,2025-01-09,505,20:13,Thursday,MCCAUL AND DUNDAS,Emergency Services,10,20,N,4459,MCCAUL AND DUNDAS,
266,2025-01-09,506,21:25,Thursday,DUNDAS AND STERLING,Cleaning - Unsanitary,10,20,E,4443,DUNDAS AND STERLING,
267,2025-01-09,512,22:17,Thursday,ST CLAIR AND OAKWOOD,General Delay,12,22,W,4451,ST CLAIR AND OAKWOOD,
268,2025-01-09,501,0:02,Thursday,SUNNYSIDE LOOP,Emergency Services,10,20,None,4584,SUNNYSIDE LOOP,
269,2025-01-09,505,0:06,Thursday,DUNDAS AND HOWARD PARK,Security,10,20,E,4607,DUNDAS AND HOWARD PARK,
270,2025-01-09,505,1:07,Thursday,DUNDAS AND SHERIDAN,Mechanical,10,20,E,4476,DUNDAS AND SHERIDAN,
271,2025-01-09,504,1:42,Thursday,CHERRY AND FRONT,Cleaning - Unsanitary,10,20,E,4510,CHERRY AND FRONT,
272,2025-01-09,505,1:52,Thursday,PARLIAMENT AND QUEEN,Emergency Services,20,35,N,4613,PARLIAMENT AND QUEEN,
273,2025-01-09,501,1:59,Thursday,PARLIAMENT AND SHUTER,Security,15,30,S,4551,PARLIAMENT AND SHUTER,
274,2025-01-10,507,2:00,Friday,RONCESVALLES CARHOUSE,Held By,18,33,W,4561,RONCESVALLES CARHOUSE,
275,2025-01-10,506,2:08,Friday,COLLEGE AND GLADSTONE,Diversion,11,21,E,4520,COLLEGE AND GLADSTONE,
276,2025-01-10,511,5:04,Friday,QUEENS QUAY AND SPADIN,Security,11,21,E,4566,QUEENS QUAY AND SPADIN,
277,2025-01-10,511,5:05,Friday,RONCESVALLES CARHOUSE,Security,11,21,W,4566,RONCESVALLES CARHOUSE,
278,2025-01-10,511,6:55,Friday,RONCESVALLES CARHOUSE,Operations,9,None,E,4592,RONCESVALLES CARHOUSE,
279,2025-01-10,510,9:33,Friday,SPADINA STATION,Utilized Off Route,3,7,E,8864,SPADINA STATION,
280,2025-01-10,506,10:07,Friday,QUEENS PARK STATION,Security,10,20,E,4634,QUEENS PARK STATION,
281,2025-01-10,512,10:26,Friday,ST CLAIR WEST STATION,Operations,8,16,None,4622,ST CLAIR WEST STATION,
282,2025-01-10,501,10:40,Friday,QUEEN AND RIVER,Diversion,27,36,W,4532,QUEEN AND RIVER,
283,2025-01-10,504,12:50,Friday,RONCESVALLES CARHOUSE,Security,10,20,E,4416,RONCESVALLES CARHOUSE,
284,2025-01-10,501,13:03,Friday,CHURCH AND QUEEN,Security,10,20,N,4565,CHURCH AND QUEEN,
285,2025-01-10,501,13:30,Friday,ADELAIDE AND BAY,Investigation,10,20,E,4539,ADELAIDE AND BAY,
286,2025-01-10,501,15:59,Friday,QUEEN AND RONCESVALLES,Security,None,None,E,4565,QUEEN AND RONCESVALLES,
287,2025-01-10,504,16:18,Friday,KING AND PARLIAMENT,Diversion,None,None,E,None,KING AND PARLIAMENT,
288,2025-01-10,503,16:24,Friday,KING AND PARLIAMENT,Diversion,45,55,None,4481,KING AND PARLIAMENT,
289,2025-01-10,501,16:31,Friday,QUEEN AND LOGAN,Collision - TTC Involved,70,80,E,4597,QUEEN AND LOGAN,
290,2025-01-10,508,16:32,Friday,KING AND PARLIAMENT,Diversion,None,None,None,4536,KING AND PARLIAMENT,
291,2025-01-10,503,16:51,Friday,QUEEN AND LOGAN,Diversion,70,80,None,None,QUEEN AND LOGAN,
292,2025-01-10,511,20:45,Friday,BATHURST AND ROBINSON,Collision - TTC Involved,8,16,S,3183,BATHURST AND ROBINSON,
293,2025-01-10,503,21:00,Friday,QUEEN AND CONNAUGHT,Operations,66,76,E,4623,QUEEN AND CONNAUGHT,
294,2025-01-10,511,21:13,Friday,BATHURST AND ROBINSON,Diversion,51,67,S,4584,BATHURST AND ROBINSON,
295,2025-01-10,505,21:16,Friday,BROADVIEW AND DUNDAS,Operations,16,26,S,4418,BROADVIEW AND DUNDAS,
296,2025-01-10,510,21:52,Friday,SPADINA AND QUEEN,Mechanical,3,6,S,8746,SPADINA AND QUEEN,
297,2025-01-10,505,21:55,Friday,DUNDAS AND JARVIS,General Delay,None,None,E,None,DUNDAS AND JARVIS,
298,2025-01-10,512,22:04,Friday,BATHURST AND DAVENPORT,Held By,None,None,S,4622,BATHURST AND DAVENPORT,
299,2025-01-10,505,22:05,Friday,DUNDAS AND PARLIAMENT,Security,None,None,W,4418,DUNDAS AND PARLIAMENT,
300,2025-01-10,504,22:33,Friday,KING AND SPADINA,Operations,42,52,W,4517,KING AND SPADINA,
301,2025-01-10,504,22:42,Friday,KING AND ONTARIO,Diversion,42,52,W,4445,KING AND ONTARIO,
302,2025-01-10,505,22:42,Friday,QUEEN AND CARLAW,Security,None,None,E,4484,QUEEN AND CARLAW,
303,2025-01-10,501,23:27,Friday,HUMBER LOOP,Emergency Services,49,59,E,4593,HUMBER LOOP,
304,2025-01-10,504,23:37,Friday,BROADVIEW AND QUEEN,Operations,55,65,S,4519,BROADVIEW AND QUEEN,
305,2025-01-10,512,23:47,Friday,ST CLAIR AND LANSDOWNE,Rail/Switches,45,55,W,4404,ST CLAIR AND LANSDOWNE,
306,2025-01-10,504,0:06,Friday,PARLIAMENT AND QUEEN,Operations,55,65,S,4625,PARLIAMENT AND QUEEN,
307,2025-01-10,504,1:19,Friday,PARLIAMENT AND KING,Operations,None,None,S,4491,PARLIAMENT AND KING,
308,2025-01-10,510,1:56,Friday,BLOOR AND SPADINA,Security,None,None,S,8864,BLOOR AND SPADINA,
309,2025-01-11,512,2:28,Saturday,LANSDOWNE AND ST CLAIR,Diversion,20,40,S,4458,LANSDOWNE AND ST CLAIR,
310,2025-01-11,512,2:45,Saturday,COLLEGE AND BATHURST,Held By,43,63,E,4457,COLLEGE AND BATHURST,
311,2025-01-11,504,3:21,Saturday,QUEEN AND BROADVIEW,Operations,10,30,E,4489,QUEEN AND BROADVIEW,
312,2025-01-11,506,3:41,Saturday,COLLEGE AND BATHURST,Held By,43,63,E,4413,COLLEGE AND BATHURST,
313,2025-01-11,503,3:45,Saturday,KING AND QUEEN,Security,None,None,W,4633,KING AND QUEEN,
314,2025-01-11,504,4:07,Saturday,LESLIE BARNS,Operations,20,25,E,4423,LESLIE BARNS,
315,2025-01-11,512,4:07,Saturday,LESLIE BARNS,Operations,10,16,E,4435,LESLIE BARNS,
316,2025-01-11,505,4:24,Saturday,KINGSTON LOOP,Security,None,None,E,4530,KINGSTON LOOP,
317,2025-01-11,507,4:24,Saturday,RONCESVALLES YARD,Operations,None,17,E,4566,RONCESVALLES YARD,
318,2025-01-11,501,4:31,Saturday,RONCESVALLES YARD,Operations,10,20,W,4559,RONCESVALLES YARD,
319,2025-01-11,512,4:34,Saturday,ST CLAIR AND CALEDONIA,Operations,20,40,W,4614,ST CLAIR AND CALEDONIA,
320,2025-01-11,509,5:23,Saturday,LESLIE BARNS,Operations,9,13,W,4644,LESLIE BARNS,
321,2025-01-11,504,5:24,Saturday,QUEEN AND LESLIE,Held By,10,13,W,4644,QUEEN AND LESLIE,
322,2025-01-11,509,5:41,Saturday,LESLIE BARNS,General Delay,10,13,N,4456,LESLIE BARNS,
323,2025-01-11,512,6:46,Saturday,ST CLAIR AND WINONA,Mechanical,10,20,W,4451,ST CLAIR AND WINONA,
324,2025-01-11,503,7:04,Saturday,KING AND YORK,Mechanical,10,20,None,4486,KING AND YORK,
325,2025-01-11,504,7:47,Saturday,KING AND TECUMSETH,General Delay,10,20,W,4441,KING AND TECUMSETH,
326,2025-01-11,511,8:36,Saturday,BATHURST AND FORT YORK,General Delay,None,None,None,None,BATHURST AND FORT YORK,
327,2025-01-11,511,9:36,Saturday,QUEEN'S QUAY AND SPADI,Rail/Switches,None,None,E,4547,QUEEN'S QUAY AND SPADI,
328,2025-01-11,501,10:02,Saturday,HUMBER LOOP,Emergency Services,10,20,None,4532,HUMBER LOOP,
329,2025-01-11,503,10:12,Saturday,KING AND CHURCH,Operations,10,20,W,4431,KING AND CHURCH,
330,2025-01-11,510,10:14,Saturday,LAKESHORE AND SPADINA,Diversion,15,19,W,8808,LAKESHORE AND SPADINA,
331,2025-01-11,504,10:47,Saturday,KING AND SHAW,Security,10,20,W,4516,KING AND SHAW,
332,2025-01-11,509,12:01,Saturday,LESLIE BARNS,Operations,4,13,N,4598,LESLIE BARNS,
333,2025-01-11,506,12:41,Saturday,COLLEGE AND YONGE,General Delay,None,None,None,4425,COLLEGE AND YONGE,
334,2025-01-11,504,13:55,Saturday,RONCEVALLES AND DUNDAS,Mechanical,5,10,S,4461,RONCEVALLES AND DUNDAS,
335,2025-01-11,511,14:29,Saturday,BATHURST STATION,Cleaning - Unsanitary,8,16,S,4538,BATHURST STATION,
336,2025-01-11,512,15:24,Saturday,ST CLAIR AND OAKWOOD,Rail/Switches,None,None,W,4517,ST CLAIR AND OAKWOOD,
337,2025-01-11,510,15:30,Saturday,SPADINA AND FORT YORK,Mechanical,9,18,S,8751,SPADINA AND FORT YORK,
338,2025-01-11,501,15:53,Saturday,NEVILLE PARK LOOP,Emergency Services,13,23,None,4588,NEVILLE PARK LOOP,
339,2025-01-11,506,16:29,Saturday,COXWELL AND LOWER GERR,Operations,25,35,E,4412,COXWELL AND LOWER GERR,
340,2025-01-11,501,16:48,Saturday,QUEEN AND NEVILLE PARK,Emergency Services,25,35,E,4586,QUEEN AND NEVILLE PARK,
341,2025-01-11,506,16:49,Saturday,COLLEGE AND SPADINA,Operations,26,36,E,4489,COLLEGE AND SPADINA,
342,2025-01-11,505,18:01,Saturday,BROADVIEW STATION,Operations,37,44,W,4475,BROADVIEW STATION,
343,2025-01-11,507,18:54,Saturday,LAKESHORE AND MARINE P,Security,5,15,W,4592,LAKESHORE AND MARINE P,
344,2025-01-11,507,19:50,Saturday,HUMBER LOOP AND THE QU,Operations,10,20,W,4566,HUMBER LOOP AND THE QU,
345,2025-01-11,501,20:00,Saturday,NEVILLE PARK LOOP,Emergency Services,18,28,None,4588,NEVILLE PARK LOOP,
346,2025-01-11,503,21:25,Saturday,QUEEN AND BOULTON,Operations,10,20,W,4631,QUEEN AND BOULTON,
347,2025-01-11,503,21:31,Saturday,BINGHAM LOOP,Collision - TTC Involved,10,20,None,4497,BINGHAM LOOP,
348,2025-01-11,505,21:33,Saturday,DUNDAS AND JARVIS,Investigation,87,97,W,4509,DUNDAS AND JARVIS,
349,2025-01-11,506,22:58,Saturday,PARLIAMENT AND CARLTON,Diversion,25,35,N,4476,PARLIAMENT AND CARLTON,
350,2025-01-11,504,23:07,Saturday,KING AND TRILLER,Security,21,31,W,4419,KING AND TRILLER,
351,2025-01-11,504,23:39,Saturday,RONCESVALLES AND QUEEN,Diversion,21,31,W,4524,RONCESVALLES AND QUEEN,
352,2025-01-11,509,23:40,Saturday,QUEENS QUAY AND HARBOU,Utilized Off Route,25,35,E,4416,QUEENS QUAY AND HARBOU,
353,2025-01-11,505,23:44,Saturday,BROADVIEW AND WOLFREY,Cleaning - Unsanitary,10,20,W,4480,BROADVIEW AND WOLFREY,
354,2025-01-11,501,0:20,Saturday,QUEEN AND AUGUSTA,Security,10,20,W,4588,QUEEN AND AUGUSTA,
355,2025-01-11,505,1:00,Saturday,BROADVIEW AND WOLFREY,Cleaning - Unsanitary,10,20,N,4426,BROADVIEW AND WOLFREY,
356,2025-01-12,507,2:37,Sunday,RONCESVALLES CARHOUSE,Security,None,None,N,4561,RONCESVALLES CARHOUSE,
357,2025-01-12,501,2:48,Sunday,SUNNYSIDE LOOP,Investigation,15,30,W,4596,SUNNYSIDE LOOP,
358,2025-01-12,505,5:21,Sunday,LESLIE AND QUEEN,Security,None,None,E,4469,LESLIE AND QUEEN,
359,2025-01-12,505,5:57,Sunday,RONCESVALLES AND DUNDA,Diversion,21,31,E,4422,RONCESVALLES AND DUNDA,
360,2025-01-12,504,6:06,Sunday,RONCESVALLES AND DUNDA,Diversion,14,28,E,4510,RONCESVALLES AND DUNDA,
361,2025-01-12,501,6:14,Sunday,QUEEN AND SHAW,General Delay,10,20,E,4544,QUEEN AND SHAW,
362,2025-01-12,503,6:27,Sunday,YORK AND WELLINGTON,Emergency Services,10,20,N,4623,YORK AND WELLINGTON,
363,2025-01-12,506,6:46,Sunday,MAIN STATION,Security,22,32,W,4520,MAIN STATION,
364,2025-01-12,506,6:46,Sunday,MAIN STATION,Security,None,None,None,4622,MAIN STATION,
365,2025-01-12,510,7:01,Sunday,LOWER SPADINA AND LAKE,Held By,10,19,None,8781,LOWER SPADINA AND LAKE,
366,2025-01-12,509,7:09,Sunday,SPADINA AND QUEENS QUA,Held By,38,27,S,4616,SPADINA AND QUEENS QUA,
367,2025-01-12,504,7:18,Sunday,RONCESVALLES AND HOWAR,Diversion,None,None,None,4522,RONCESVALLES AND HOWAR,
368,2025-01-12,505,7:24,Sunday,DUNDAS AND HOWARD PARK,Diversion,64,74,E,4501,DUNDAS AND HOWARD PARK,
369,2025-01-12,511,7:28,Sunday,QUEEN'S QUAY AND LOWER,Held By,12,22,None,4585,QUEEN'S QUAY AND LOWER,
370,2025-01-12,511,7:35,Sunday,LOWER SPADINA AND QUEE,Held By,12,22,W,None,LOWER SPADINA AND QUEE,
371,2025-01-12,501,7:43,Sunday,QUEEN AND RONCESVALLES,Cleaning - Unsanitary,10,20,W,4601,QUEEN AND RONCESVALLES,
372,2025-01-12,511,8:34,Sunday,BATHURST AND FORT YORK,General Delay,None,None,None,None,BATHURST AND FORT YORK,
373,2025-01-12,505,13:45,Sunday,DUNDAS AND SHERIDAN,Diversion,8,14,E,4419,DUNDAS AND SHERIDAN,
374,2025-01-12,504,13:46,Sunday,BROADVIEW STATION,Security,None,None,None,4446,BROADVIEW STATION,
375,2025-01-12,504,14:05,Sunday,BROADVIEW AND QUEEN,Emergency Services,11,21,S,4611,BROADVIEW AND QUEEN,
376,2025-01-12,503,14:25,Sunday,BINGHAM LOOP,Cleaning - Unsanitary,10,20,W,4431,BINGHAM LOOP,
377,2025-01-12,504,14:40,Sunday,KING AND DUFFERIN,Security,10,20,W,4405,KING AND DUFFERIN,
378,2025-01-12,512,14:55,Sunday,ST CLAIR AND WINONA,Security,41,49,W,4407,ST CLAIR AND WINONA,
379,2025-01-12,512,15:01,Sunday,ST CLAIR AND AVENUE,General Delay,12,20,E,4458,ST CLAIR AND AVENUE,
380,2025-01-12,501,15:11,Sunday,QUEEN AND KINGSTON ROA,Operations,60,70,E,4590,QUEEN AND KINGSTON ROA,
381,2025-01-12,503,15:20,Sunday,QUEEN AND KINGSTON,Diversion,50,60,E,4498,QUEEN AND KINGSTON,
382,2025-01-12,512,18:02,Sunday,ST CLAIR AND LANSDOWNE,General Delay,9,17,W,4506,ST CLAIR AND LANSDOWNE,
383,2025-01-12,512,18:03,Sunday,ST CLAIR AND CALEDONIA,General Delay,8,16,E,4517,ST CLAIR AND CALEDONIA,
384,2025-01-12,512,18:03,Sunday,ST CLAIR AND VAUGHAN,General Delay,10,18,W,4628,ST CLAIR AND VAUGHAN,
385,2025-01-12,510,19:07,Sunday,SPADINA STATION,Collision - TTC Involved,None,None,None,8926,SPADINA STATION,
386,2025-01-12,501,19:28,Sunday,QUEEN AND COXWELL,Security,11,21,E,4569,QUEEN AND COXWELL,
387,2025-01-12,512,19:56,Sunday,ST CLAIR WEST AND DEER,General Delay,7,17,E,4506,ST CLAIR WEST AND DEER,
388,2025-01-12,512,19:57,Sunday,ST CLAIR AND LAGHTON,Operations,14,24,W,4480,ST CLAIR AND LAGHTON,
389,2025-01-12,512,21:02,Sunday,ST CLAIR WEST STATION,General Delay,12,22,W,4447,ST CLAIR WEST STATION,
390,2025-01-12,503,21:05,Sunday,QUEEN AND JONES,Rail/Switches,33,43,W,4498,QUEEN AND JONES,
391,2025-01-12,501,21:14,Sunday,QUEEN AND JONES,Diversion,33,43,W,4615,QUEEN AND JONES,
392,2025-01-12,512,21:23,Sunday,ST CLAIR AND BATHURST,Operations,12,22,W,4423,ST CLAIR AND BATHURST,
393,2025-01-12,506,21:30,Sunday,MAIN STREET STATION,Emergency Services,None,None,None,4482,MAIN STREET STATION,
394,2025-01-12,501,21:59,Sunday,QUEEN AND JONES,Diversion,39,49,W,4535,QUEEN AND JONES,
395,2025-01-12,503,22:01,Sunday,QUEEN AND JONES,Rail/Switches,39,49,None,None,QUEEN AND JONES,
396,2025-01-12,None,22:53,Sunday,FLEET AND IANNUZZI ST,General Delay,None,None,W,322,FLEET AND IANNUZZI ST,
397,2025-01-12,501,23:39,Sunday,QUEENSWAY AND GLANDALE,Security,20,30,W,4593,QUEENSWAY AND GLANDALE,
398,2025-01-12,503,0:46,Sunday,QUEEN AND JONES,Security,30,40,W,4503,QUEEN AND JONES,
399,2025-01-12,507,0:50,Sunday,QUEEN AND JONES,Held By,30,40,W,4587,QUEEN AND JONES,
400,2025-01-13,505,2:29,Monday,BROADVIEW STATION,Emergency Services,30,50,None,4530,BROADVIEW STATION,
401,2025-01-13,506,4:36,Monday,KINGSTON LOOP,Security,None,None,None,4432,KINGSTON LOOP,
402,2025-01-13,504,4:38,Monday,KINGSTON LOOP,Security,None,None,E,4451,KINGSTON LOOP,
403,2025-01-13,507,8:19,Monday,LAKESHORE AND ROYAL YO,Diversion,51,61,E,4589,LAKESHORE AND ROYAL YO,
404,2025-01-13,512,8:34,Monday,ST CLAIR AND NORTHCLIF,Operations,9,18,W,4555,ST CLAIR AND NORTHCLIF,
405,2025-01-13,507,9:09,Monday,LAKESHORE AND ROYAL YO,Mechanical,None,None,E,3213,LAKESHORE AND ROYAL YO,
406,2025-01-13,511,10:10,Monday,QUEENS QUAY AND SPADIN,Overhead,None,None,W,4565,QUEENS QUAY AND SPADIN,
407,2025-01-13,511,11:24,Monday,BATHURST AND HARBORD,Mechanical,9,18,S,4573,BATHURST AND HARBORD,
408,2025-01-13,505,12:03,Monday,DUNDAS WEST STATION,Collision - TTC Involved,10,20,None,4611,DUNDAS WEST STATION,
409,2025-01-13,511,12:50,Monday,FLEET AND STRATCHAN,Rail/Switches,None,None,None,None,FLEET AND STRATCHAN,
410,2025-01-13,506,13:07,Monday,COLLEGE AND SPADINA,Security,10,20,E,4413,COLLEGE AND SPADINA,
411,2025-01-13,501,14:23,Monday,QUEEN AND JOHN,Security,None,None,E,4546,QUEEN AND JOHN,
412,2025-01-13,512,15:47,Monday,ST CLAIR WEST STATION,General Delay,None,None,N,None,ST CLAIR WEST STATION,
413,2025-01-13,506,18:04,Monday,COLLEGE AND SPADINA,Security,43,53,E,4457,COLLEGE AND SPADINA,
414,2025-01-13,506,18:26,Monday,GERRARD AND DE GRASSI,General Delay,23,33,W,4644,GERRARD AND DE GRASSI,
415,2025-01-13,505,22:25,Monday,DUNDAS AND BLOOR,Security,None,None,N,4451,DUNDAS AND BLOOR,
416,2025-01-13,510,22:48,Monday,KING AND SPADINA,Security,6,12,S,8762,KING AND SPADINA,
417,2025-01-13,506,22:53,Monday,HOWARD PARK AND INDIAN,Security,9,29,E,4515,HOWARD PARK AND INDIAN,
418,2025-01-13,510,1:06,Monday,SPADINA STATION,Collision - TTC Involved,9,18,None,8709,SPADINA STATION,
419,2025-01-13,510,1:06,Monday,SPADINA STATION,Collision - TTC Involved,15,30,None,8685,SPADINA STATION,
420,2025-01-13,506,1:26,Monday,KINGSTON ROAD LOOP,Emergency Services,None,None,None,4474,KINGSTON ROAD LOOP,
421,2025-01-13,507,1:30,Monday,HUMBER LOOP AND THE QU,Cleaning - Unsanitary,13,26,W,4532,HUMBER LOOP AND THE QU,
422,2025-01-13,501,1:54,Monday,KINGSTON RD LOOP,Security,15,30,E,4584,KINGSTON RD LOOP,
423,2025-01-14,512,2:22,Tuesday,ST CLAIR WEST STATION,Cleaning - Unsanitary,20,40,W,4529,ST CLAIR WEST STATION,
424,2025-01-14,501,3:00,Tuesday,QUEEN AND AUGUSTA,Cleaning - Unsanitary,14,28,W,4584,QUEEN AND AUGUSTA,
425,2025-01-14,505,4:06,Tuesday,DUNDAS AND BLOOR,Cleaning - Unsanitary,20,40,E,4464,DUNDAS AND BLOOR,
426,2025-01-14,507,5:19,Tuesday,ROYAL YORK AND LAKE SH,Mechanical,10,20,N,4567,ROYAL YORK AND LAKE SH,
427,2025-01-14,503,5:36,Tuesday,QUEEN AND GREENWOOD,Security,None,None,E,4631,QUEEN AND GREENWOOD,
428,2025-01-14,501,6:21,Tuesday,SUNNYSIDE LOOP,Security,None,None,None,4571,SUNNYSIDE LOOP,
429,2025-01-14,506,6:43,Tuesday,COLLEGE AND AUGUSTA,Diversion,10,20,W,4629,COLLEGE AND AUGUSTA,
430,2025-01-14,512,6:45,Tuesday,COLLEGE AND AUGUSTA,Held By,10,20,W,4401,COLLEGE AND AUGUSTA,
431,2025-01-14,512,6:48,Tuesday,280 COLLEGE STREET,Held By,10,20,W,4499,280 COLLEGE STREET,
432,2025-01-14,512,6:49,Tuesday,COLLEGE AND AUGUSTA,Diversion,10,20,W,4401,COLLEGE AND AUGUSTA,
433,2025-01-14,510,8:13,Tuesday,SPADINA STATION BUS EN,Operations,4,8,S,8681,SPADINA STATION BUS EN,
434,2025-01-14,512,8:24,Tuesday,ST CLAIR STATION,Cleaning - Unsanitary,8,16,E,4487,ST CLAIR STATION,
435,2025-01-14,501,9:13,Tuesday,QUEEN AND NEVILLE PARK,Cleaning - Unsanitary,9,18,W,4552,QUEEN AND NEVILLE PARK,
436,2025-01-14,504,15:20,Tuesday,KING AND SUMACH,Operations,10,20,E,4407,KING AND SUMACH,
437,2025-01-14,512,15:51,Tuesday,EARLSCOURT LOOP,General Delay,None,None,None,None,EARLSCOURT LOOP,
438,2025-01-14,503,16:11,Tuesday,KINGSTON AND VICTORIA,Diversion,48,58,E,4624,KINGSTON AND VICTORIA,
